Alabama,1
Alaska,8.8
Arizona,2.1
Arkansas,1.7
California,2.7
Colorado,2.9
Connecticut,3.1
Delaware,2.1
District of Columbia,13.6
Florida,1.5
Georgia,1.5
Hawaii,4.2
Idaho,3.1
Illinois,3.1
Indiana,2
Iowa,3.7
Kansas,2.5
Kentucky,2.3
Louisiana,1.7
Maine,3.9
Maryland,2.4
Massachusetts,4.8
Michigan,2.2
Minnesota,2.9
Mississippi,1.5
Missouri,2
Montana,5.3
Nebraska,2.7
Nevada,2.2
New Hampshire,3.1
New Jersey,2.9
New Mexico,2.3
New York,6.4
North Carolina,1.9
North Dakota,4.5
Ohio,2.2
Oklahoma,1.7
Oregon,4
Pennsylvania,3.9
Rhode Island,4.1
South Carolina,2.5
South Dakota,4.2
Tennessee,1.4
Texas,1.6
Utah,2.6
Vermont,5.3
Virginia,2.5
Washington,3.5
West Virginia,2.8
Wisconsin,3.5
Wyoming,4.6
