"Total, all countries or areas",2005,Students enrolled in primary education (thousands),678990
"Total, all countries or areas",2005,Students enrolled in secondary education (thousands),509100
"Total, all countries or areas",2005,Students enrolled in tertiary education (thousands),139648
"Total, all countries or areas",2010,Students enrolled in primary education (thousands),697101
"Total, all countries or areas",2010,Students enrolled in secondary education (thousands),546263
"Total, all countries or areas",2010,Students enrolled in tertiary education (thousands),181506
"Total, all countries or areas",2014,Students enrolled in primary education (thousands),716242
"Total, all countries or areas",2014,Students enrolled in secondary education (thousands),579906
"Total, all countries or areas",2014,Students enrolled in tertiary education (thousands),211455
"Total, all countries or areas",2015,Students enrolled in primary education (thousands),723319
"Total, all countries or areas",2015,Students enrolled in secondary education (thousands),581620
"Total, all countries or areas",2015,Students enrolled in tertiary education (thousands),214083
"Total, all countries or areas",2016,Students enrolled in primary education (thousands),740231
"Total, all countries or areas",2016,Students enrolled in secondary education (thousands),585517
"Total, all countries or areas",2016,Students enrolled in tertiary education (thousands),215945
Japan,2005,Students enrolled in primary education (thousands),7232
Japan,2005,Students enrolled in secondary education (thousands),7710
Japan,2005,Students enrolled in tertiary education (thousands),4038
Japan,2010,Students enrolled in primary education (thousands),7099
Japan,2010,Students enrolled in secondary education (thousands),7296
Japan,2010,Students enrolled in tertiary education (thousands),3836
Japan,2014,Students enrolled in primary education (thousands),6715
Japan,2014,Students enrolled in secondary education (thousands),7227
Japan,2014,Students enrolled in tertiary education (thousands),3862
Japan,2015,Students enrolled in primary education (thousands),6638
Japan,2015,Students enrolled in secondary education (thousands),7221
Japan,2015,Students enrolled in tertiary education (thousands),3845
United States of America,2005,Students enrolled in primary education (thousands),24455
United States of America,2005,Students enrolled in secondary education (thousands),24432
United States of America,2005,Students enrolled in tertiary education (thousands),17272
United States of America,2010,Students enrolled in primary education (thousands),24393
United States of America,2010,Students enrolled in secondary education (thousands),24193
United States of America,2010,Students enrolled in tertiary education (thousands),20428
United States of America,2014,Students enrolled in primary education (thousands),24538
United States of America,2014,Students enrolled in secondary education (thousands),24230
United States of America,2014,Students enrolled in tertiary education (thousands),19700
United States of America,2015,Students enrolled in primary education (thousands),24786
United States of America,2015,Students enrolled in secondary education (thousands),24417
United States of America,2015,Students enrolled in tertiary education (thousands),19532
